13111211               张华                 13112454142                 5             1
13111212               李斌                 15182368123                 0             0
13111213               吴山                 13124353232                 0             0
13111214               徐华                 18123234921                 0             0
13111233               刘奇                 15342848123                 0             0
13111234               苏宏伟                 13598312933                 0             0
13111245               欧阳亮                 18342323414                 0             0
13111255               刘文华                 13134412394                 0             0
13111256               张文                 18424238943                 0             0
13111257               李乐                 13435312323                 0             0
14111231               孙和                 18932847627                 0             0
14111234               吴华                 13452413332                 0             0
14111245               常新                 15143434142                 0             0
14111247               孙昌                 13534534322                 0             0
15111234               郭畅                 18324324324                 0             0
15111235               徐欢                 15903920332                 0             0
15111243               张力                 13232423411                 0             0
